,id,title,genres,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count,month,year,day_of_week,weighted_vote,popularity_category
2401,19405,Recess: School's Out,Science Fiction,16.285,Walt Disney Pictures,2001-01-27,10000000.0,44460850.0,82.0,6.5,290.0,1,2001,5,6.5,High
2402,1730,Inland Empire,Fantasy,16.274,Camerimage Festival,2006-09-06,15000000.0,4045770.0,180.0,7.071,920.0,9,2006,2,6.773604166666667,High
2403,14123,Bratz,Comedy,16.27,MGA Entertainment,2007-08-03,20000000.0,26000000.0,102.0,5.766,384.0,8,2007,4,6.296346820809249,High
2404,241258,Incarnate,Horror,16.269,Blumhouse Productions,2016-12-01,5000000.0,6341855.0,91.0,5.4,469.0,12,2016,3,6.148808713410483,High
2405,39486,Secretariat,Drama,16.268,Walt Disney Pictures,2010-08-20,35000000.0,60321861.0,123.0,7.4,499.0,8,2010,4,6.799599733155437,High
2406,10199,The Tale of Despereaux,Adventure,16.266,Larger Than Life Productions,2008-12-18,60000000.0,86947965.0,93.0,6.0,792.0,12,2008,3,6.279017857142858,High
2407,80,Before Sunset,Drama,16.256,Warner Independent Pictures (WIP),2004-02-10,2700000.0,15992615.0,80.0,7.8,2884.0,2,2004,1,7.46529351184346,High
2408,12700,Dominion: Prequel to The Exorcist,Horror,16.254,Morgan Creek Productions,2005-05-20,30000000.0,251495.0,117.0,5.3,283.0,5,2005,4,6.235307872174591,High
2409,152259,Phantom,Thriller,16.238,Trilogy Entertainment Group,2013-01-03,10000000.0,1034589.0,99.0,5.8,269.0,1,2013,3,6.351615445232467,High
2410,199373,The Frozen Ground,Thriller,16.227,Picture Perfect Corporation,2013-07-11,27220000.0,5496951.0,105.0,6.3,1283.0,7,2013,3,6.38760402978537,High
2411,12779,Swept Away,Comedy,16.224,Codi S.p.a.,2002-10-11,10000000.0,598645.0,89.0,4.9,228.0,10,2002,4,6.202931596091205,High
2412,504562,Motherless Brooklyn,Drama,16.223,Class 5 Films,2019-10-31,26000000.0,18377736.0,145.0,6.7,1244.0,10,2019,3,6.6108734402852045,High
2413,22949,Old Dogs,Comedy,16.222,Walt Disney Pictures,2009-11-24,35000000.0,96753696.0,88.0,5.5,633.0,11,2009,1,6.112369871402327,High
2414,11892,Murder by Numbers,Crime,16.216,Castle Rock Entertainment,2002-04-19,50000000.0,56714147.0,120.0,6.1,864.0,4,2002,4,6.314592274678111,High
2415,17047,Agent Cody Banks 2: Destination London,Comedy,16.21,Metro,2004-03-12,26000000.0,28818995.0,100.0,5.5,551.0,3,2004,4,6.144745325596389,High
2416,129139,The To Do List,Comedy,16.209,3 Arts Entertainment,2013-07-24,1500000.0,3566225.0,104.0,5.7,908.0,7,2013,2,6.119287211740042,High
2417,1247,The Good Shepherd,Drama,16.202,Morgan Creek Productions,2006-12-11,85000000.0,100266865.0,167.0,6.327,979.0,12,2006,0,6.4144178878221325,High
2418,157547,Oculus,Horror,16.202,Intrepid Pictures,2013-09-08,5000000.0,44459951.0,104.0,6.447,2618.0,9,2013,6,6.461648977335545,High
2419,10782,Basic,Action,16.201,Intermedia Films,2003-04-18,50000000.0,42792561.0,98.0,6.518,875.0,4,2003,4,6.5084,High
2420,277355,Everly,Thriller,16.2,Dimension Films,2014-09-20,15000000.0,358156.0,93.0,5.4,521.0,9,2014,5,6.123208415516108,High
2421,489988,Three Identical Strangers,Documentary,16.198,Channel 4 Television,2018-06-29,15000000.0,1041955.0,97.0,7.4,576.0,6,2018,4,6.828934010152285,High
2422,520172,Happiest Season,Romance,16.195,Temple Hill Entertainment,2020-11-26,15000000.0,1401954.0,102.0,7.4,972.0,11,2020,3,6.943610547667343,High
2423,65055,Shark Night 3D,Thriller,16.194,Rogue Pictures,2011-09-02,28000000.0,10126458.0,91.0,5.0,448.0,9,2011,4,6.035911602209945,High
2424,369192,Battle of the Sexes,Comedy,16.184,Fox Searchlight Pictures,2017-09-22,25000000.0,12638526.0,121.0,6.785,1649.0,9,2017,4,6.677412231030578,High
